	Concurso	Data	Bola1	Bola2	Bola3	Bola4	Bola5	Bola6	Bola7	Bola8	Bola9	Bola10	Bola11	Bola12	Bola13	Bola14	Bola15	Arrecadacao	Ganhadores	Numero1	Numero2	Numero3	Numero4	Numero5	Numero6	Numero7	Numero8	Numero9	Numero10	Numero11	NUmero12	Numero13	Numero14	Numero15										
1	80	04/04/2005	17	22	25	7	20	3	18	10	4	1	14	9	2	5	15	0	1	1	2	3	4	5	#N/A	7	#N/A	9	10	#N/A	#N/A	#N/A	14	15	#N/A	17	18	#N/A	20	#N/A	22	#N/A	#N/A	25
1	81	11/04/2005	13	2	7	19	17	15	1	4	6	21	3	11	5	16	10	0	6	1	2	3	4	5	6	7	#N/A	#N/A	10	11	#N/A	13	#N/A	15	16	17	#N/A	19	#N/A	21	#N/A	#N/A	#N/A	#N/A
1	82	18/04/2005	4	8	19	12	23	17	13	20	1	18	6	15	5	22	9	0	4	1	#N/A	#N/A	4	5	6	#N/A	8	9	#N/A	#N/A	12	13	#N/A	15	#N/A	17	18	19	20	#N/A	22	23	#N/A	#N/A
1	83	25/04/2005	23	10	25	20	14	3	1	6	2	11	8	13	12	24	5	0	3	1	2	3	#N/A	5	6	#N/A	8	#N/A	10	11	12	13	14	#N/A	#N/A	#N/A	#N/A	#N/A	20	#N/A	#N/A	23	24	25
1	84	02/05/2005	15	22	8	25	6	4	16	1	2	24	19	20	17	23	12	0	2	1	2	#N/A	4	#N/A	6	#N/A	8	#N/A	#N/A	#N/A	12	#N/A	#N/A	15	16	17	#N/A	19	20	#N/A	22	23	24	25
1	85	09/05/2005	1	2	11	21	16	8	23	7	18	22	14	15	5	13	9	0	13	1	2	#N/A	#N/A	5	#N/A	7	8	9	#N/A	11	#N/A	13	14	15	16	#N/A	18	#N/A	#N/A	21	22	23	#N/A	#N/A
1	86	16/05/2005	13	19	12	18	5	6	9	24	23	4	17	8	25	2	14	0	14	#N/A	2	#N/A	4	5	6	#N/A	8	9	#N/A	#N/A	12	13	14	#N/A	#N/A	17	18	19	#N/A	#N/A	#N/A	23	24	25
1	87	23/05/2005	11	3	18	25	5	24	13	8	15	10	9	22	1	2	20	0	14	1	2	3	#N/A	5	#N/A	#N/A	8	9	10	11	#N/A	13	#N/A	15	#N/A	#N/A	18	#N/A	20	#N/A	22	#N/A	24	25
1	88	30/05/2005	8	10	18	24	11	1	17	2	25	9	14	19	12	4	5	0	5	1	2	#N/A	4	5	#N/A	#N/A	8	9	10	11	12	#N/A	14	#N/A	#N/A	17	18	19	#N/A	#N/A	#N/A	#N/A	24	25
1	89	06/06/2005	23	16	1	12	21	25	17	19	13	20	24	15	6	11	22	0	2	1	#N/A	#N/A	#N/A	#N/A	6	#N/A	#N/A	#N/A	#N/A	11	12	13	#N/A	15	16	17	#N/A	19	20	21	22	23	24	25
1	90	13/06/2005	22	10	11	8	17	20	23	3	21	1	15	25	2	12	24	0	4	1	2	3	#N/A	#N/A	#N/A	#N/A	8	#N/A	10	11	12	#N/A	#N/A	15	#N/A	17	#N/A	#N/A	20	21	22	23	24	25
1	91	20/06/2005	16	23	1	25	22	14	9	13	11	10	12	15	4	20	17	0	2	1	#N/A	#N/A	4	#N/A	#N/A	#N/A	#N/A	9	10	11	12	13	14	15	16	17	#N/A	#N/A	20	#N/A	22	23	#N/A	25
1	92	27/06/2005	17	6	4	1	8	15	2	19	14	13	12	18	21	24	22	0	5	1	2	#N/A	4	#N/A	6	#N/A	8	#N/A	#N/A	#N/A	12	13	14	15	#N/A	17	18	19	#N/A	21	22	#N/A	24	#N/A
1	93	04/07/2005	4	24	7	17	9	13	18	20	5	6	10	21	2	19	23	0	6	#N/A	2	#N/A	4	5	6	7	#N/A	9	10	#N/A	#N/A	13	#N/A	#N/A	#N/A	17	18	19	20	21	#N/A	23	24	#N/A
1	94	11/07/2005	21	9	13	12	11	15	4	22	24	16	8	18	23	2	17	0	2	#N/A	2	#N/A	4	#N/A	#N/A	#N/A	8	9	#N/A	11	12	13	#N/A	15	16	17	18	#N/A	#N/A	21	22	23	24	#N/A
1	95	18/07/2005	10	4	18	22	1	3	20	19	17	2	15	5	11	12	14	0	2	1	2	3	4	5	#N/A	#N/A	#N/A	#N/A	10	11	12	#N/A	14	15	#N/A	17	18	19	20	#N/A	22	#N/A	#N/A	#N/A
